shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
3,46.249214,6.10872,173
3,46.250217,6.111006,174
3,46.25066,6.11299,175
3,46.250912,6.114407,176
3,46.251396,6.115351,177
3,46.252285,6.11637,178
3,46.25383,6.117153,179
3,46.253948,6.117346,180
3,46.254128,6.117175,181
3,46.255089,6.11711,182
3,46.255653,6.116767,183
3,46.257717,6.114299,184
3,46.258087,6.113462,185
3,46.258575,6.112561,186
3,46.258919,6.112089,187
3,46.259586,6.110995,188
3,46.260342,6.109128,189
3,46.260342,6.108077,190
3,46.259777,6.10621,191
3,46.259777,6.105931,192
3,46.260208,6.105158,193
3,46.261009,6.104407,194
3,46.269585,6.098549,195
3,46.270828,6.097605,196
3,46.271408,6.097069,197
3,46.271973,6.096768,198
3,46.274731,6.093421,199
3,46.275829,6.092799,200
3,46.279106,6.091726,201
3,46.27998,6.091061,202
3,46.282043,6.087971,203
3,46.283882,6.086297,204
3,46.284801,6.085782,205
3,46.286907,6.085331,206
3,46.288002,6.086683,207
3,46.288773,6.088121,208
3,46.289204,6.088271,209
3,46.289989,6.087949,210
3,46.290642,6.087992,211
3,46.29174,6.088915,212
3,46.292465,6.089323,213
3,46.293533,6.091018,214
3,46.296898,6.092069,215
3,46.297626,6.092885,216
3,46.298248,6.093185,217
3,46.299332,6.093421,218
3,46.300858,6.095417,219
3,46.300842,6.095674,220
3,46.301006,6.095695,221
3,46.301037,6.095331,222
3,46.304104,6.09031,223
3,46.305973,6.088078,224
3,46.309261,6.083872,225
3,46.31015,6.081705,226
3,46.310833,6.078293,227
3,46.310257,6.077542,228
3,46.310242,6.076255,229
3,46.310257,6.077542,230
3,46.310833,6.078293,231
3,46.31015,6.081705,232
3,46.309261,6.083872,233
3,46.305973,6.088078,234
3,46.304104,6.09031,235
3,46.301037,6.095331,236
3,46.300858,6.095417,237
3,46.299332,6.093421,238
3,46.298248,6.093185,239
3,46.297626,6.092885,240
3,46.29681,6.092069,241
3,46.293533,6.091018,242
3,46.292465,6.089323,243
3,46.29174,6.088915,244
3,46.290642,6.087992,245
3,46.289989,6.087949,246
3,46.289204,6.088271,247
3,46.288773,6.088121,248
3,46.288002,6.086683,249
3,46.286907,6.085331,250

4,46.231548,6.054007,0
4,46.231617,6.054072,1
4,46.231705,6.054072,2
4,46.231689,6.056082,3
4,46.231762,6.056345,4
4,46.232597,6.057372,5
4,46.232693,6.057683,6
4,46.231018,6.064260,7
4,46.229935,6.067865,8
4,46.226017,6.082413,9
4,46.222454,6.095395,10
4,46.221779,6.097122,11
4,46.222633,6.097798,12
4,46.226231,6.101929,13
4,46.229061,6.106467,14
4,46.228256,6.107229,15
4,46.229111,6.108989,16
4,46.231274,6.112036,17
4,46.231800,6.112304,18
4,46.232201,6.111971,19
4,46.232170,6.111209,20
4,46.231918,6.110877,21
4,46.231377,6.110920,22
4,46.230671,6.110061,23
4,46.231049,6.109418,24
4,46.230068,6.107937,25
4,46.229652,6.108329,26
4,46.229336,6.107959,27
4,46.229275,6.106773,28
4,46.229061,6.106467,29
4,46.222633,6.097798,30
4,46.222157,6.097369,31
4,46.222664,6.095438,32
4,46.226017,6.082413,33
4,46.229935,6.067865,34
4,46.231018,6.064260,35
4,46.232693,6.057683,36
4,46.231762,6.056345,37
4,46.230434,6.055580,38
4,46.230301,6.055344,39
4,46.230171,6.053295,40
4,46.230293,6.053252,41
4,46.230976,6.054035,42
4,46.231133,6.054100,43
4,46.231335,6.053756,44
4,46.231426,6.053756,45
4,46.231548,6.054007,46

